id,segment,method,core,cables,demarc,n4,n1_fa,with_cables,spare,elec,pathway,cables_per_conduit,fill_flag,raw
toC01,toS04,leader,B,50,True,5,0,3,2,0,duct bank,16.7,+demarc qty not stated,"(50) CORE-B CABLES + DEMARC CABLES - (5) 4"" CONDUITS WITH PULL STRINGS. (3) CONDUITS WITH CABLES, (2) SPARE CONDUITS."
toC02,toS05,leader,A,2,False,1,0,1,0,0,pipe basement,2.0,,"(2) CORE-A CABLES - (1) 4"" CONDUIT WITH PULL STRING AND CABLES. ROUTED IN PIPE BASEMENT BELOW BUILDING."
toC03,toS03,leader,A,2,False,3,0,1,2,0,duct bank,2.0,,"(2) CORE-A CABLES - (3) 4"" CONDUITS WITH PULL STRINGS. (1) CONDUIT WITH CABLES, (2) SPARE CONDUITS."
toC04,toS02,leader,A,38,True,0,0,0,0,0,pipe basement,,+demarc qty not stated,"(38) CORE-A FIBERS + DEMARC CABLES IN 4"" CONDUITS ROUTED IN PIPE BASEMENT BELOW BUILDING TO BUILDING 1 BASEMENT TRS. REFER TO SHEET T1.B FOR CONTINUATION."
toC05,toS01,leader,B,1,False,3,0,1,2,0,duct bank,1.0,,"(1) CORE-B CABLE - (3) 4"" CONDUITS WITH PULL STRINGS. (1) CONDUIT WITH CABLES, (2) SPARE CONDUITS."
toC06,toS02,leader,A,1,False,1,0,1,0,0,pipe basement,1.0,,"(1) CORE-A CABLE - (1) 4"" CONDUIT WITH PULL STRING AND CABLES. ROUTED IN PIPE BASEMENT BELOW BUILDING."
toC07,toS06,leader,A,1,False,1,0,1,0,0,duct bank,1.0,,"(1) CORE-A CABLE - (1) 4"" CONDUIT WITH PULL STRING AND CABLES."
toC08,toS07,leader,A,1,False,1,0,1,0,0,duct bank,1.0,,"(1) CORE-A CABLE - (1) 4"" CONDUIT WITH PULL STRING AND CABLES."
toC09,toS02,leader,A,1,False,3,0,1,2,0,duct bank,1.0,,"(1) CORE-A CABLE - (3) 4"" CONDUITS WITH PULL STRINGS. (1) CONDUIT WITH CABLES, (2) SPARE CONDUITS."
toC10,toS09,NEAREST ONLY (16 ft) - verify,B,1,False,1,0,1,0,0,duct bank,1.0,,"(1) CORE-B CABLE - (1) 4"" CONDUIT WITH PULL STRING AND CABLES."
